ID,requirements_text,CTL,Pattern
1588,"If the call fails in the lead traction vehicle, the lead driver will be responsible for re-establishing the call. ",AG(callFailureInLeadVehicle -> AF(leadDriver & reestablishCall)),Pattern 6.1: Response - Globally
1589,"If the call fails to any other cab, the driver in that cab will call the lead cab and request re-establishment of the call.",AG(callFailureInOtherCab -> AF(otherDriver & callLeadCab & requestReestablishment)),Pattern 6.1: Response - Globally
1590,"For calls between a controller and the lead cab, it shall be possible to add the controller to the multi-driver call.",AG(callWithController -> AF(controllerAdded)),Pattern 6.1: Response - Globally
1591,Either the lead driver calls the controller or the controller calls the lead driver.,EF(leadDriverCallsController) | EF(controllerCallsLeadDriver),Pattern 2.1: Existence - Globally
1592,It shall be possible for the driver to contact members of on-board train staff using a point-to-point voice call.,AF(contactOnboardStaff),Pattern 2.1: Existence - Globally
1593,"On many trains, staff may be connected by intercom or internal telephone rather than by  radio. ",AF(intercom | internalTelephone),Pattern 2.1: Existence - Globally
1594,It  is  required  that  the  Cab  radio  shall be  integrated  with internal communication systems such that the appropriate means of connection (wire or radio) will be determined automatically.,AG(determineConnection -> AF(wireConnection | radioConnection)),Pattern 6.1: Response - Globally
1595,"The Cab radio shall be capable of being used as a standard telephone, such that the driver is able to call any valid number subject to pre-defined call restrictions.",AG((cabRadio = standardTelephone) -> EF(callValidNumber & preDefinedCallRestrictions)),Pattern 6.1: Response - Globally
1596,The call may be initiated by: selection from a pre-defined list (up to 99 entries); direct dialling a subscriber number; or calling a functional number.,EF(callInitiatedByPredefinedList) | EF(callInitiatedByDirectDial) | EF(callInitiatedByFunctionalNumber),Pattern 2.1: Existence - Globally
1597,An audible and visual indication of an incoming call shall be provided.,AG(incomingCall -> AF(audibleIndication & visualIndication)),Pattern 6.1: Response - Globally
1598,Point-to-point calls that are not automatically answered shall only be answered once the driver accepts the call.,AG((pointToPointCall & !autoAnswered) -> AF(driverAcceptsCall)),Pattern 6.1: Response - Globally
1599,"Once the driver has accepted the standard point-to-point call, it shall be connected appropriately, eg if the driver has accepted the call by lifting the handset, then the call shall be routed to the handset.",AG((driverAcceptsCall & liftingHandset) -> AF(callRoutedToHandset)),Pattern 6.1: Response - Globally
1600,An audible and visual indication of the incoming call shall be provided when a Cab radio receives a group or broadcast call.,AG((groupCallReceived | broadcastCallReceived) -> AF(audibleIndication & visualIndication)),Pattern 6.1: Response - Globally
1601,The group identity of the voice group call (VBS or VGCS) shall be displayed.,AG((VBSCall | VGCSCall) -> AF(groupIdentityDisplayed)),Pattern 6.1: Response - Globally
1602,"Group or broadcast calls shall automatically be connected to the loudspeaker if the handset is not in use, or to the handset if the handset is off hook.",AG((groupCall | broadcastCall) -> AF(handsetInUse & AX(connectedToHandset)) | (!handsetInUse & AX(connectedToLoudspeaker))),Pattern 6.1: Response - Globally
1603,The  driver  shall  be  informed  if  a  broadcast  call  is  ongoing  by  a  visual  indication displayed on the MMI.,AG(broadcastCall -> AF(visualIndicatorOnMMI)),Pattern 6.1: Response - Globally
1604,It is not possible for the driver to speak as part of the call when receiving a broadcast call.,AG(broadcastCall -> AX(!driverSpeaks)),Pattern 6.1: Response - Globally
1605,"If the call is a group call, the driver shall be required to request permission before being able to speak as part of the call by lifting the handset and pushing the Push-To-Talk (PTT) button.",AG(groupCall & requestToSpeak -> AX(driverSpeaks)),Pattern 6.1: Response - Globally
1606,"During a group call, a visual indication shall be displayed on the drivers MMI to remind the driver of the need to use the PTT button.",AG(groupCall -> AX(displayPTTreminder)),Pattern 6.1: Response - Globally
1607,The driver can not speak in a group call until permission is granted by the network after pushing the PTT button.,AG(pushPTT -> (A[!speak W permissionGranted])),Pattern 1.5: Absence - After Q until R
1608,"In a group call, an audible and visual indication of whether the request to talk was successful shall be provided.",AG(groupCall & requestToTalk -> AF(indication)),Pattern 6.1: Response - Globally
1609,The driver shall then be able to speak as part of the call whilst the PTT button is pressed.,AG(driverPTTPressed -> AF(driverSpeakInCall)),Pattern 6.1: Response - Globally
1610,"If the train moves out of the group or broadcast call area whilst the call is in progress, an audible and visual indication of the loss of call shall be provided to the driver.",AG((callInProgress & AX(outOfArea)) -> AF(indication)),Pattern 6.1: Response - Globally
1611,"Reception of this call proceeds as for a standard group or broadcast call, except that a distinctive audible and visual indication shall be provided in the cab.",AF(callReceived -> AF(distinctIndication)),Pattern 6.1: Response - Globally
1612,"If a train-borne recorder is connected to the Cab radio, details of an incoming Railway emergency  call  shall  be  transmitted  to  the  train-borne  recorder  for  recording.",AG(recorderConnected & emergencyCallReceived -> AF(detailsTransmitted)),Pattern 6.1: Response - Globally
1613,An  automatic  confirmation  shall  be  generated  by  the  Cab  radio  at  the  end  of  the Railway emergency call.,AG(emergencyCallEnds -> AF(autoConfirmation)),Pattern 6.1: Response - Globally
1614,Automatic confirmation of receipt of Railway emergency calls will be used to provide a means  of  determining  which  trains  have  received  a  Railway  emergency  call.,AG(autoConfirmation -> EF(trainReceivedCall)),Pattern 6.1: Response - Globally
1615,The  Cab  radio  shall  provide  a  means for  the driver  to  terminate  calls  which he  is authorized to terminate (ie all calls except Railway emergency calls not initiated by the driver and shunting group calls).,AG((terminateCall & driverAuthorized) -> AF(callTerminated & !((railwayEmergencyCallNotInitiatedByDriver) | (shuntingGroupCall)))),Pattern 6.1: Response - Globally
1616,"For group or broadcast calls, a means to leave the call without terminating the call shall be provided.",AG(groupCall | broadcastCall -> AF(leaveCall) & !(terminateCall)),Pattern 6.1: Response - Globally
1617,The Cab radio system shall be able to receive incoming text messages,AG(cabRadioSystem -> AF(receiveTextMessage)),Pattern 6.1: Response - Globally
1618,The  Cab  radio  shall  support  a  shunting  mode  of  operation  that  provides  a  link assurance  tone  to  reassure  users  of  the  integrity  of  the  communication  link.,AG(cabRadioSystem -> AG(shuntingMode -> AF(linkAssuranceTone))),combination of 4.1 and 2.1
1619,A means to enter and leave shunting mode shall be provided.,AF(enterShuntingMode) & AF(leaveShuntingMode),Pattern 2.1: Existence - Globally
1620,The functionality to enter and leave shunting mode shall not be available when there are on-going calls involving the Cab radio.,AG((ongoingCalls -> AX(!enterShuntingMode & !leaveShuntingMode))),Pattern 6.1: Response - Globally
1621,The link assurance tone shall be provided via the loudspeaker.,AG(linkAssuranceTone -> AF(viaLoudspeaker)),Pattern 6.1: Response - Globally
1622,"If the Cab radio is equipped with an additional security device, this audible indication may be muted for the drivers convenience.",AG(cabRadioEquippedWithSecurityDevice -> EF(muteAudibleIndication)),Pattern 6.1: Response - Globally
1623,The security device alerts the driver if the link has failed or if it is cancelled.,AG((linkFailure | linkCancelled) -> EF(securityDeviceAlertsDriver)),Pattern 6.1: Response - Globally
1624,"It should be possible for the Cab radio to be used without the network service (if it should fail or if there is no authorized network coverage), such that local open channel communications are still possible.",AG((networkFailure | !authorizedNetworkCoverage) -> EF(localOpenChannelCommunication)),Pattern 6.1: Response - Globally
1625,"If  direct  mode  is  implemented,  a  means  to  enter  and  leave  direct  mode  shall  be  provided.",AG(directModeImplemented -> EF(enterDirectMode) & EF(leaveDirectMode)),Pattern 6.1: Response - Globally
1626,"If the radio is in direct mode and the normal network service returns, the user shall be provided with an audible and visual indication.",AG((directMode & normalNetworkServiceReturns) -> EF(audibleIndication & visualIndication)),Pattern 6.1: Response - Globally
1627,"Not all communications using the Cab radio will involve the driver. Where these calls involve the Cab radio, the driver shall be provided with an indication that the Cab radio is busy.",AG((communication & !driverInvolved & cabRadioInvolved) -> EF(driverIndicationThatCabRadioIsBusy)),Pattern 6.1: Response - Globally
1628,"For voice calls using the Cab radio not involving the driver as a called or calling party, the driver shall have the possibility to listen to the audio output of the communication. ",AG((voiceCall & cabRadioUsed & !driverInvolved) -> EF(driverCanListen)),Pattern 6.1: Response - Globally
1629,"For voice communications, if the driver picks up the handset, the radio shall allow him to join the communication.",AG((voiceCommunication & driverPicksHandset) -> EF(driverJoinCommunication)),Pattern 6.1: Response - Globally
1630,The  driver  shall  be  able  to  terminate  communications  (voice  or  data)  by  selecting another call.,AG(selectAnotherCall -> EF(terminateVoiceCommunication | terminateDataCommunication)),Pattern 6.1: Response - Globally
1631,"Where the Cab radio is required by a national railway to support a handheld portable, the Cab radio shall provide a clear indication as to whether the handheld portable is activated or not.",AG(cabRadioRequired -> AF(handheldPortableActivated)) & AG(cabRadioRequired -> AF(!handheldPortableActivated)),Pattern 6.1: Response - Globally
1632,"Where the Cab radio is required by a national railway to support a handheld portable, the Cab radio shall provide an interface to allow the handheld portable to be recharged when not in  use.",AG(cabRadioRequired -> AF(handheldPortableRecharging)),Pattern 6.1: Response - Globally
1633,"Where the Cab radio is required by a national railway to support a handheld portable, the Cab radio shall forward calls automatically to the handheld portable when the handheld portable  is activated.",AG(cabRadioRequired -> AF(autoForwardCalls)),Pattern 6.1: Response - Globally
1634,"Where the Cab radio is required by a national railway to support a handheld portable, the Cab radio shall cancel any call forwarding to the handheld portable when it is deactivated.",AG(cabRadioRequired & handheldPortableDeactivated -> AF(cancelForwardCalls)),Pattern 6.1: Response - Globally
1635,"Where the Cab radio is required by a national railway to support a handheld portable, the Cab radio shall allow the driver to override the call forwarding to the handheld portable.",AG(cabRadioRequired -> AF(driverOverrideCallForwarding)),Pattern 6.1: Response - Globally
1636,Powering up the Cab radio will initiate the automatic self-testing.,AG(powerUpCabRadio -> AF(initiateSelfTesting)),Pattern 6.1: Response - Globally
1637,Powering up the Cab radio will initiate the automatic selection of the pre-set loudspeaker volume.,AG(powerUpCabRadio -> AF(initiatePresetVolumeSelection)),Pattern 6.1: Response - Globally
1638,"Powering up the Cab radio will initiate the registration with other on-train systems, such as ERTMS/ETCS.",AG(powerUpCabRadio -> AF(registerWithOnTrainSystems)),Pattern 6.1: Response - Globally
1639,Powering up the Cab radio will initiate the all failures of self-tests should be recorded in the train-borne recorder.,AG(powerUpCabRadio -> AF(recordSelfTestFailuresInTrainRecorder)),Pattern 6.1: Response - Globally
1640,Powering up the Cab radio will initiate the connection of the Cab radio to an authorized mobile network. This shall be the  network to which the mobile was last registered (where available).,AG(powerUpCabRadio -> AF(connectToAuthorizedNetwork & lastRegisteredNetwork)),Pattern 6.1: Response - Globally
1641,"Powering up the Cab radio will initiate the following: if connection is successful, the name of the network shall be displayed on the MMI  and an audible indication of successful connection shall be given.",AG(powerUpCabRadio -> AF(successfulConnection & displayNetworkName & audibleIndication)),Pattern 6.1: Response - Globally
1642,"Powering up the Cab radio will initiate the following:  if connection is not successful, an audible and visual indication shall be provided.",AG(powerUpCabRadio & !successfulConnection -> AF(audibleAndVisualIndication)),Pattern 6.1: Response - Globally
1643,"Powering up the Cab radio will initiate the following: if connection is not successful, the manual network selection procedure may be initiated by the driver.",AG(powerUpCabRadio & !successfulConnection -> EF(manualNetworkSelectionProcedure)),Pattern 6.1: Response - Globally
1644,"At the point of successful connection, the Cab radio will be able to receive all calls made using the Cab radios telephone number, engine number or appropriate group call numbers (including Railway emergency calls).",AG(successfulConnection -> EF(receiveCallsWithCabRadioNumber | receiveCallsWithEngineNumber | receiveAppropriateGroupCalls | receiveRailwayEmergencyCalls)),Pattern 6.1: Response - Globally
1645,Powering down the Cab radio shall cause the disconnection of the Cab radio from the mobile network.,AG(powerDown -> AF(disconnectFromNetwork)),Pattern 6.1: Response - Globally
1646,"When switched off, the radio shall retain any numbers which are stored at the time the radio is switched off.",AG(switchOff -> AX(retainStoredNumbers)),Pattern 6.1: Response - Globally
1647,The  MMI  on/off  control  shall  be  designed  to  prevent  accidental  activation/deactivation.,AG(MMIControl -> AX(!accidentalActivation | !accidentalDeactivation)),Pattern 6.1: Response - Globally
1648,Switching the MMI on shall cause the following: self test of MMI (eg transitory lighting of the display and of all the controls and  indicator lights of the MMI).,AG(MMIOn -> AF(selfTestMMI)),Pattern 6.1: Response - Globally
1649,"Switching the MMI on shall cause the following: determination of the status of the Cab radio, providing a display of radio status on  the MMI.",AG(MMIOn -> AF(determineRadioStatus & displayRadioStatusOnMMI)),Pattern 6.1: Response - Globally
1650,"When  the  MMI  is  switched  on,  the  configuration  shall  be  determined  by  the  time elapsed since the MMI was last switched off: less than minutes  the MMI shall power up with the same configuration as when it was last powered down.",AG(MMIOn -> ((timeSinceShutdown < x) -> EF(sameConfiguration))) & AG(MMIOn -> ((timeSinceShutdown >= x) -> EF(differentConfiguration))),Pattern 6.1: Response - Globally
1651,"When the MMI is switched on, the configuration shall be determined by the time elapsed since the MMI was last switched off: greater than minutes the MMI shall power up with default settings.",AG(MMIOn -> ((timeSinceShutdown > x) -> AF(defaultSettings))),Pattern 6.1: Response - Globally
1652,"The time should be able to be varied between 0 and 240 minutes, as a maintenance t function, allowing the radio to power up in a consistent state following minor operational procedures or power interruptions.",AG((time >= 0 & time <= 240) -> EF(consistentStateAfterPowerUp)),Pattern 6.1: Response - Globally
1653,Switch off shall be soft so that the Cab radio completes the following housekeeping functions before actually switching off: controlled termination of a current call.,AG(switchOff -> AF(terminateCurrentCall)),Pattern 6.1: Response - Globally
1654,Switch off shall be soft so that the Cab radio completes the following housekeeping functions before actually switching off: deregister train number (where applicable).,AG(switchOff -> AF(deregisterTrainNumber)),Pattern 6.1: Response - Globally
1655,Switch off shall be soft so that the Cab radio completes the following housekeeping functions before actually switching off: store required data.,AG(switchOff -> AF(storeRequiredData)),Pattern 6.1: Response - Globally
1656,Switch off shall be soft so that the Cab radio completes the following housekeeping functions before actually switching off: confirmation of Railway emergency calls.,AG(switchOff -> AF(confirmRailwayEmergencyCalls)),Pattern 6.1: Response - Globally
1657,"When switched off, the following functions (if available) shall still be provided: public address; call Chief Conductor; intercom.",AG(switchOff -> AF(providePublicAddress & callChiefConductor & intercom)),Pattern 6.1: Response - Globally
1658,It shall be possible to present radio related prompts and information in a number of  different languages.,AF(language(i)),Pattern 2.1: Existence - Globally
1659,"By default, prompts and information shall be displayed in the language selected by the train owner (as stored within the system).",AG(default -> AF(languageDefault = languageOwner)),Pattern 6.1: Response - Globally
1660,It shall be possible for the user to display a list of available languages and select the language.,EF(displayLanguages) & EF(languageSelected),Pattern 2.1: Existence - Globally
1661,The languages to be supported will be a matter for each national railway to decide.,AG(languageSetByNationalRailway),Pattern 4.1: Universality - Globally
1662,The radio shall support at least ten different languages.,AG(language(i) & i > 0 & i <= 10),Pattern 4.1: Universality - Globally
1663,"By default, the loudspeaker volume shall be set to a pre-determined level suitable for the operating environment (as stored within the system).",AG(powerOn -> AF(volume = DefaultVolume)),Pattern 6.1: Response - Globally
1664,It shall be possible for the driver to increase and decrease the loudspeaker volume within the adjustment range selected.,AG(rangeSelected -> AF(volumeIncrease) & AF(volumeDecrease)),Pattern 6.1: Response - Globally
1665,"When the handset is picked up, the loudspeaker shall continue to operate, but at a reduced volume level. ",AG(handsetPickedUp -> AF(loudspeakerReducedVolume)),Pattern 6.1: Response - Globally
1666,"Using a simple MMI action, it shall be possible for the driver to view a prioritized list of all authorized mobile radio networks.",AG(MMIAction -> AF(viewPrioritizedList)),Pattern 6.1: Response - Globally
1667,"When presented with this list, it shall be possible for the driver (using simple MMI actions) to select the required mobile radio network manually, whereupon the Cab radio shall attempt to attach to this selected network.",AG(listPresented & MMIAction -> AF(selectNetwork & EX(attemptAttach))),Pattern 6.1: Response - Globally
1668,The manual network selection function shall not be available when there are on-going voice calls involving the Cab radio.,AG(ongoingCall -> AG(!manualNetworkSelection)),Pattern 1.3: Absence - After Q
1669,A visual confirmation of the new network identity shall be given to the driver when a manually initiated network change has been completed successfully.,AG(manualNetworkChange -> AF(networkChangeConfirmation)),Pattern 6.1: Response - Globally
1670,The Cab radio should be capable of selecting the mobile radio network automatically from a list of suitable networks.,AF(autoNetworkSelection),Pattern 2.1: Existence - Globally
1671,"If automatic network selection is implemented, it shall be possible for the driver to activate and deactivate automatic network selection.",AG(autoNetworkSelection -> AF(activateAutoSelection) & AF(deactivateAutoSelection)),Pattern 6.1: Response - Globally
1672,Automatic network selection shall not be used for international border crossing.,AG(borderCrossing -> AF(!autoNetworkSelection)),Pattern 6.1: Response - Globally
1673,"If directed network selection and/or automatic network selection are implemented, the driver shall be informed by means of an audible and visual indication of the new network identity whenever a network change takes place without user intervention.",AG((autoNetworkSelection | directedNetworkSelection) & networkChange -> AF(audibleIndication & visualIndication)),Pattern 6.1: Response - Globally
1674,Manual network selection is suitable for crossing international borders.,AG(borderCrossing -> EF(manualNetworkSelection)),Pattern 6.1: Response - Globally
1675,"If directed network selection is implemented, input from the external device(s) shall initiate the network change regardless of the identity of the current network and how it was selected.",AG(directedNetworkSelection -> AF(externalInput -> EF(networkChange))),Pattern 6.1: Response - Globally
1676,Automatic network selection is not suitable for use in areas where there is a risk that the Cab radio will change to a foreign network unpredictably.,AG(riskyArea -> AF(!autoNetworkSelection)),Pattern 6.1: Response - Globally
1677,The Cab radio should be capable of selecting the mobile radio network as directed by input from an external device (eg a balise).,AG(inputFromExternalDevice -> EF(networkSelected)),Pattern 6.1: Response - Globally
1678,"If directed network selection is implemented and voice calls are ongoing at the time when the external device attempts to trigger a network change, an audible and visual indication shall be given to the driver and network change shall be deferred until the call is terminated or until 
coverage of the current network is lost.",AG((directedNetworkSelection & ongoingVoiceCall) -> ((audibleIndication & visualIndication) U (callTerminated | networkCoverageLost))),combination of 6.1 and 4.5
1679,Directed network selection is suitable for crossing international borders.,AG(borderCrossing -> AF(directedNetworkSelection)),Pattern 6.1: Response - Globally
1680,It  shall  be  possible  for  the  driver  to  register  and  deregister  a  train  number  in  the  following ways: enter train number; initiate the automated request (applicable only for leading driver).,AG((registerTrainNumber -> EF(enterTrainNumber | initiateAutomatedRequest)) & (deregisterTrainNumber -> EF(enterTrainNumber | initiateAutomatedRequest))),Pattern 6.1: Response - Globally
1681,"Where the driver is required to enter the train number information, the information entered shall be shown on the display and require confirmation by the driver before further actions are possible.",AG(enterTrainNumber -> AF(displayTrainNumber & confirmTrainNumber)),Pattern 6.1: Response - Globally
1682,"If an automated request is initiated (option 2), the driver shall be able to accept or reject the train number returned by the network.",AG(initiateAutoRequest -> AF(acceptTrainNumber | rejectTrainNumber)),Pattern 6.1: Response - Globally
1683,"Where ERTMS/ETCS and radio systems are available and the driver is required to enter the train number as part of the initialization procedure, this task shall be carried out only once on the ERTMS/ETCS system and the entered number transmitted to the radio system.",AG(ERTMS_ETCS_available & driverInputTrainNumber -> AF(enteredNumberTransmittedToRadio)),Pattern 6.1: Response - Globally
1684,The driver shall be warned (by audible and visual indications) if a train with the same train number is already registered on the same network.,AG((trainRegistered & sameTrainNumber & sameNetwork) -> AF(warning & audibleIndication & visualIndication)),Pattern 6.1: Response - Globally
1685,A means to override the currently registered train number shall be provided to the newly registering driver.,AG(trainRegistered -> EF(overrideTrainNumber)),Pattern 6.1: Response - Globally
1686,The driver of the previously registered train shall be informed (by audible and visual indications) that his train number has been overridden by another driver.,AG(overrideTrainNumber -> EF(previousDriver & audibleIndication & visualIndication)),Pattern 6.1: Response - Globally
1687,"Where a change of train number is required during the course of a train's journey, it shall be possible for the driver to initiate the change or override the automatic change. This shall be carried out by entering the train number.",AG((journeyOngoing & (initiateChange | overrideAutoChange)) -> AF(enterTrainNumber)),Pattern 6.1: Response - Globally
1688,"Non-leading drivers shall be able to indicate to the system their location in the train during the registration procedure (2nd driver, 3rd driver etc).",AG(nonLeadingDriver -> AF(indicateLocation)),Pattern 6.1: Response - Globally
1689,The driver's functional number shall be automatically registered/deregistered when the train number is registered/deregistered.,AG((registerTrainNumber -> AF(registerFunctionalNumber)) & (deregisterTrainNumber -> AF(deregisterFunctionalNumber))),Pattern 6.1: Response - Globally
1690,The functional number of other on-train users who may be addressed through the Cab radio via the on-train bus shall be registered/deregistered automatically at the same time as the registration/deregistration of the driver's functional number.,AG((registerFunctionalNumber -> AF(registerOnTrainUsers)) & (deregisterFunctionalNumber -> AF(deregisterOnTrainUsers))),Pattern 6.1: Response - Globally
1691,"Where  an  on-train  bus  is  connected  to  the  Cab  radio,  deregistration of  functional numbers can be performed on an individual basis and also by the train driver, by one action for all users (including the driver), at the end of the journey when the train number is no longer associated 
with the train.",AG((endOfJourney & noTrainNumber) -> EF(deregisterIndividualFunctionalNumber | driverDeregisterAllFunctionalNumbers)),Pattern 6.1: Response - Globally
1692,"There shall be a fixed relationship between the telephone numbers of radios installed in the locomotive/coach and the stock number, which shall remain even if the radio is changed.",AG(FixedRelationship & (RadioChanged -> RelationshipMaintainedOnRadioChange)),Pattern 4.1: Universality - Globally
1693,It shall be possible to register and deregister a stock number in one or both of the following way: automatically using information from on-board systems.,AG(autoInfoOnboardSystems -> (registerStockNumber | deregisterStockNumber)),Pattern 6.1: Response - Globally
1694,It shall be possible to register and deregister a stock number in one or both of the following way: automatically via a fixed interface between the locomotive/coach and the radio.,AG(autoFixedInterface -> AF(registerStockNumber | deregisterStockNumber)),Pattern 6.1: Response - Globally
1695,The Cab radio shall have a reconfigurable list of stored numbers that may be used to perform abbreviated dialing to named user identities.,AG(cabRadio -> EF(reconfigurableListOfNumbers & abbreviatedDialing)),Pattern 6.1: Response - Globally
1696,It  shall  be  possible  for  the  driver  to  find  and  display  stored  numbers  and  their information.,AG(driver -> EF(findStoredNumbers & displayStoredNumbers)),Pattern 6.1: Response - Globally
1697,It should be possible for the driver to store and overwrite numbers and their details in the Cab radio.,AG(driver -> AF(storeNumbers & overwriteNumbers)),Pattern 6.1: Response - Globally
1698,It shall be possible to initiate tests of the radio to provide the driver with a reasonable level of certainty that the radio and MMI are working.,EF(initiateTest -> AF(radioWorking & MMIWorking)),combination of 2.1 and 6.1
1699,Such tests shall not prevent calls.,AG(testsPerformed -> EF(!callPrevented)),Pattern 6.1: Response - Globally
1700,The result of the tests shall be displayed in a similar format to the self-test when MMI is powered on.,AG(MMIPowered -> AF(displaySelfTestResults)),Pattern 6.1: Response - Globally
1701,"The Cab radio system may be required to be able to handle incoming and outgoing calls not only to and from the driver, but also to and from other on-train users and devices (conductor, public address system, data systems, etc) via appropriate interfaces and ports.",AG((incomingCall | outgoingCall) -> EF(handleCallToFromDriver | handleCallToFromOtherUsersOrDevices)),Pattern 6.1: Response - Globally
1702,"For data applications, calls shall be possible even if the driver MMI is switched off.",AG(driverMMIOff -> EF(dataCallPossible)),Pattern 6.1: Response - Globally
1703,The Cab radio may need to conserve battery power when the radio is powered up but the MMI is switched off.,AG((radioPowered & MMIoff) -> EF(batteryPowerConserved)),Pattern 6.1: Response - Globally
1704,"The Cab radio may be required to set up calls from a number of different sources. Therefore, the radio shall provide a priority function for calls from different sources in order to handle contention for the radio.",AG(differentCallSources -> EF(providePriorityFunction)),Pattern 6.1: Response - Globally
1705,"In order to meet other call priorities, established calls shall be able to be either put on hold or cleared down (pre-empted).",AG(establishedCalls & otherCallPriorities -> EF(callOnHold | callCleared)),Pattern 6.1: Response - Globally
1706,The  Cab  radio  shall  be  capable  of  handling  contention  between  calls  of  differing priorities.,AG(differingPriorities -> EF(callHandled)),Pattern 6.1: Response - Globally
1707,An  outgoing  call  request  of  higher  priority  than  an  established  call  shall  take precedence over the established call.,AG((outgoingCallRequest & higherPriority) -> AF(precedenceOverEstablishedCall)),Pattern 6.1: Response - Globally
1708,"Where pre-emption occurs, an advisory indication may be provided to the pre-empted parties.",AG(preemption -> AX(advisoryIndication)),Pattern 6.1: Response - Globally
1709,"Upon the request of the driver, the Cab radio should be able to perform a suite of run-time diagnostic tests on all physical interfaces.",AG(driverRequest -> EF(runTimeDiagnosticTest)),Pattern 6.1: Response - Globally
1710,"If run-time diagnostics are implemented, failure of an interface shall be reported to the driver via the display.",AG(runTimeDiagnostics -> EF(interfaceFailure -> AF(displayReportToDriver))),Pattern 6.1: Response - Globally
1711,"If run-time diagnostics are implemented, all failures should be available to be recorded in a train-borne recorder.",AG(runTimeDiagnostics -> AF(failuresRecordedInTrainBorneRecorder)),Pattern 6.1: Response - Globally
1712,"If  run-time  diagnostics  are  implemented,  diagnostic  tests  shall  not  interfere  with normal operation of the Cab radio.",AG(runTimeDiagnostics -> AF(!interferenceWithNormalOperation)),Pattern 6.1: Response - Globally
1713,Railways will require facilities to support the use of automatic test equipment with mobile radios.,AG(railways -> AF(supportAutoTestEquipment)),Pattern 6.1: Response - Globally
1714,"Cab radios should be able to continue to operate for a period of at least 1 hour in the event of failure of the trains power supply, based on the following cycle: point-to-point calls   20%; group calls 5%; standby 75%.",AG(powerFailure -> AF(radioOperating)),Pattern 6.1: Response - Globally
1715,Radio equipment installed in a drivers Cab shall not obstruct the drivers vision or otherwise hinder the safe driving of the train.,AG(installedRadio -> AG(safeDriving)),Pattern 4.3: Universality - After Q
1716,All call related functions shall be possible with the handset on or off the hook.,AG((handsetOnHook | handsetOffHook) -> AG(callFunctions)),Pattern 4.3: Universality - After Q
1717,"The  driver  shall  be  able  to  adjust  the  brightness  of  buttons,  indicator  lights  and displays according to the ambient lighting in the cab.",AG(ambientLighting -> AF(brightnessAdjustmentPossible)),Pattern 6.1: Response - Globally
1718,The driver shall be able to adjust the contrast of the display.,EF(contrastAdjustmentPossible),Pattern 2.1: Existence - Globally
1719,The emergency call button shall be red and shall be protected against accidental use.,AG(emergencyButtonColor = red & emergencyButtonProtected),Pattern 4.1: Universality - Globally
1720,"Any displays shall be clearly readable from a normal drivers position, assuming a normal reading distance.",AG(displayReadable),Pattern 4.1: Universality - Globally
1721,Displayed characters shall have a minimum height of 5mm.,AG(characterHeight >= 5),Pattern 4.1: Universality - Globally
1722,The standard set of audible and visual indications specified in the CENELEC Standard for the Driver-Machine Interface for ERTMS shall be implemented in the Cab radio system.,AG(implementedIndications),Pattern 4.1: Universality - Globally
1723,"Where there is a risk that stored numbers or other set-up details may be accidentally changed,  facilities  should  be  provided  on  the  Cab  radio  in  order  to  prevent  this happening.",AG(riskOfChange -> AF(preventiveFacility)),Pattern 6.1: Response - Globally
1724,Cab radios shall provide a means of preventing tampering.,AG(preventTampering),Pattern 4.1: Universality - Globally
1725,"If  contact  with  the  mobile  radio  network  is  lost,  then  the  Cab  radio  shall  give  an audible and visual indication.",AG(networkContactLost -> AF(audibleIndication & VisualIndication)),Pattern 6.1: Response - Globally
1726,A driver safety device (DSD) interface should be provided in traction units that are equipped with a DSD in order to support the transmission of a DSD alarm.,AG(tractionUnitEquippedWithDSD -> AF(DSDInterfaceProvided)),Pattern 6.1: Response - Globally
1727,"If such an interface is implemented, it shall be capable of being connected to a device complying  with  UIC  fiche  641   concerning  automatic  vigilance  devices  used  in international traffic.",AG(DSDInterfaceImplemented -> AF(interfaceConnectsToCompliantDevice)),Pattern 6.1: Response - Globally
1728,The activation of the driver safety device shall automatically trigger the Cab radio to send a data message.,AG(DSDActivated -> AF(dataMessageSent)),Pattern 6.1: Response - Globally
1729,The DSD alarm call/message shall provide the following information: train number; engine number; location information.,AG(DSDAlarm -> AF(infoProvided)),Pattern 6.1: Response - Globally
1730,DSD alarm information shall be transmitted to the primary controller.,AG(DSDAlarm -> AF(infoTransmitted)),Pattern 6.1: Response - Globally
1731,On-train mobiles shall provide a standardised interface to ERTMS/ETCS.,AG(standardInterface),Pattern 4.1: Universality - Globally
1732,"The General purpose radio shall be capable of use as a standard telephone, such that the user is able to call any valid number subject to call restrictions enforced by the network.",AG(standardTelephoneUsage -> AF(validNumber & !networkRestriction)),Pattern 6.1: Response - Globally
1733,The facility for a given General purpose radio to send a Railway emergency call shall be determined as a management function.,AG(radioSendEmergencyCall -> AF(managementFunctionActive)),Pattern 6.1: Response - Globally
1734,A special MMI action shall be required for a General purpose radio user to send a Railway emergency call.,AG(radioSendEmergencyCall -> EX(MMISpecialAction)),Pattern 6.1: Response - Globally
1735,It  shall  not  be  possible  for  any  General  purpose  radio  user  to  send  a  Railway emergency call by dialling a short code or telephone number.,AG((shortCodeDialed | telphoneNumberDialed) -> !RadioSendEmergencyCall),Pattern 4: Universality
